Image Name,Position,Label,Top-Left X,Top-Left Y,Bottom-Right X,Bottom-Right Y
img_1485.png,10,6,770,422,756,478
img_1485.png,11,4,756,396,732,454
img_1320.png,1,5,796,808,848,814
img_1320.png,2,5,812,784,866,784
img_1320.png,3,8,834,746,888,758
img_1320.png,4,6,850,726,906,732
img_1320.png,5,1,866,702,920,714
img_1320.png,6,8,884,676,944,672
img_1320.png,7,2,918,626,974,620
img_1320.png,8,0,944,590,996,592
img_1320.png,9,2,962,558,1018,564
img_1320.png,10,8,978,530,1030,536
img_1320.png,11,9,994,502,1052,506
img_1452.png,1,5,604,578,602,642
img_1452.png,2,5,632,602,636,660
img_1452.png,3,8,666,628,654,682
img_1452.png,4,6,684,644,686,702
img_1452.png,5,2,716,662,712,722
img_1452.png,6,0,740,680,748,742
img_1452.png,7,1,790,718,794,778
img_1452.png,8,0,822,738,822,802
img_1452.png,9,8,854,762,852,818
img_1452.png,10,3,880,776,874,830
img_1452.png,11,8,908,796,912,852
img_1122.png,1,5,788,828,840,824
img_1122.png,2,5,800,798,848,792
img_1122.png,3,8,818,764,872,762
img_1122.png,4,6,832,736,886,730
img_1122.png,5,1,846,708,896,712
img_1122.png,6,4,864,680,912,672
img_1122.png,7,1,888,622,932,610
img_1122.png,8,0,902,586,948,576
img_1122.png,9,4,908,552,962,546
img_1122.png,10,7,920,526,974,518
img_1122.png,11,4,932,496,992,494
img_1287.png,1,5,972,534,992,590
img_1287.png,2,5,940,528,958,576
img_1287.png,3,8,912,516,924,564
img_1287.png,4,6,882,504,900,558
img_1287.png,5,1,854,496,868,548
img_1287.png,6,7,814,484,838,540
img_1287.png,7,6,760,462,776,518
img_1287.png,8,0,726,452,746,508
img_1287.png,9,6,696,440,712,496
img_1287.png,10,0,664,434,682,484
img_1287.png,11,3,626,418,650,476
img_1331.png,1,5,766,822,816,828
img_1331.png,2,5,790,792,848,812
img_1331.png,3,8,812,768,868,778
img_1331.png,4,6,836,744,890,758
img_1331.png,5,1,856,722,908,738
img_1331.png,6,8,882,696,940,704
img_1331.png,7,9,920,646,978,660
img_1331.png,8,0,950,616,1002,634
img_1331.png,9,4,968,594,1028,606
img_1331.png,10,9,990,570,1052,584
img_1331.png,11,X,1016,544,1072,560
img_1133.png,1,5,636,606,648,664
img_1133.png,2,5,670,624,680,680
img_1133.png,3,8,702,642,710,694
img_1133.png,4,6,730,656,736,708
img_1133.png,5,1,756,670,760,718
img_1133.png,6,4,790,680,796,740
img_1133.png,7,4,846,706,854,766
img_1133.png,8,9,878,722,882,782
img_1133.png,9,6,914,736,920,794
img_1133.png,10,X,944,752,952,814
img_1133.png,11,3,976,772,980,824
img_1441.png,1,5,736,774,786,800
img_1441.png,2,5,758,756,810,778
img_1441.png,3,8,786,738,838,760
img_1441.png,4,6,810,718,864,740
img_1441.png,5,2,834,696,886,722
img_1441.png,6,0,856,674,910,700
img_1441.png,7,4,918,638,966,656
img_1441.png,8,0,942,618,988,638
img_1441.png,9,6,962,596,1016,616
img_1441.png,10,6,990,582,1042,600
img_1441.png,11,7,1014,562,1064,582
img_1496.png,1,5,762,416,812,414
img_1496.png,2,5,748,452,802,440
img_1496.png,3,8,732,482,788,472
img_1496.png,4,6,716,510,776,506
img_1496.png,5,2,700,540,762,532
img_1496.png,6,1,690,566,748,564
img_1496.png,7,6,660,634,722,624
img_1496.png,8,0,648,660,710,656
img_1496.png,9,5,630,696,692,686
img_1496.png,10,4,618,722,680,720
img_1496.png,11,C,608,756,662,742
img_1221.png,1,5,732,420,774,460
img_1221.png,2,5,726,452,764,496
img_1221.png,3,8,718,492,754,528
img_1221.png,4,6,708,518,750,560
img_1221.png,5,1,698,548,744,586
img_1221.png,6,6,686,576,734,626
img_1221.png,7,2,670,638,720,684
img_1221.png,8,0,660,674,712,716
img_1221.png,9,4,652,710,698,754
img_1221.png,10,0,644,744,690,782
img_1221.png,11,3,640,774,692,824
img_1584.png,1,5,966,530,1004,576
img_1584.png,2,5,928,532,968,578
img_1584.png,3,8,894,532,928,582
img_1584.png,4,6,866,536,896,580
img_1584.png,5,2,832,536,870,582
img_1584.png,6,2,790,540,832,590
img_1584.png,7,5,728,546,768,594
img_1584.png,8,1,702,546,730,598
img_1584.png,9,0,664,544,700,596
img_1584.png,10,7,634,548,666,598
img_1584.png,11,0,598,550,638,602
img_1397.png,1,5,992,628,998,686
img_1397.png,2,5,958,610,966,666
img_1397.png,3,8,932,592,936,646
img_1397.png,4,6,908,570,910,628
img_1397.png,5,1,886,564,878,620
img_1397.png,6,9,850,546,856,604
img_1397.png,7,1,794,512,798,570
img_1397.png,8,0,758,492,766,548
img_1397.png,9,6,732,472,734,530
img_1397.png,10,E,702,458,708,516
img_1397.png,11,C,672,440,678,498
img_1430.png,1,5,974,766,936,800
img_1430.png,2,5,972,728,930,770
img_1430.png,3,8,968,696,922,732
img_1430.png,4,0,964,666,916,704
img_1430.png,5,2,956,632,912,678
img_1430.png,6,0,948,596,906,642
img_1430.png,7,3,942,536,894,572
img_1430.png,8,0,936,502,890,542
img_1430.png,9,4,934,468,874,504
img_1430.png,10,8,926,440,876,474
img_1430.png,11,8,918,406,872,446
img_1342.png,1,5,670,738,714,776
img_1342.png,2,6,700,728,750,764
img_1342.png,3,8,738,714,778,752
img_1342.png,4,6,764,702,810,740
img_1342.png,5,1,796,690,832,732
img_1342.png,6,8,826,680,870,712
img_1342.png,7,2,880,662,932,696
img_1342.png,8,0,920,644,960,676
img_1342.png,9,6,950,630,998,666
img_1342.png,10,C,984,616,1030,654
img_1342.png,11,2,1012,604,1060,642
img_1551.png,1,5,626,620,648,673
img_1551.png,2,5,660,630,682,682
img_1551.png,3,8,698,638,712,696
img_1551.png,4,6,728,644,740,702
img_1551.png,5,2,756,650,774,706
img_1551.png,6,2,788,660,812,716
img_1551.png,7,4,852,670,876,730
img_1551.png,8,0,888,682,902,732
img_1551.png,9,5,918,686,940,744
img_1551.png,10,8,956,692,974,750
img_1551.png,11,2,984,698,1000,754
img_1419.png,1,5,1038,582,1044,638
img_1419.png,2,5,1008,566,1018,626
img_1419.png,3,8,980,548,982,608
img_1419.png,4,6,956,532,960,588
img_1419.png,5,2,928,518,930,572
img_1419.png,6,0,892,504,902,558
img_1419.png,7,6,832,468,842,518
img_1419.png,8,0,814,454,814,506
img_1419.png,9,3,776,436,786,494
img_1419.png,10,5,750,422,752,480
img_1419.png,11,9,724,404,728,462
img_1155.png,1,5,882,446,934,460
img_1155.png,2,5,854,466,908,484
img_1155.png,3,8,826,486,880,506
img_1155.png,4,6,798,506,848,526
img_1155.png,5,1,782,522,828,546
img_1155.png,6,5,746,550,804,566
img_1155.png,7,2,698,592,754,606
img_1155.png,8,0,668,614,724,632
img_1155.png,9,1,640,632,696,658
img_1155.png,10,7,620,650,674,676
img_1155.png,11,7,592,670,654,696
img_1353.png,1,5,726,456,690,498
img_1353.png,2,5,740,488,698,532
img_1353.png,3,8,752,522,708,566
img_1353.png,4,6,762,556,720,598
img_1353.png,5,1,774,588,718,618
img_1353.png,6,8,784,620,742,662
img_1353.png,7,3,796,672,762,716
img_1353.png,8,0,804,710,768,754
img_1353.png,9,8,814,744,774,782
img_1353.png,10,8,820,772,784,818
img_1353.png,11,8,834,808,806,844
img_1232.png,1,5,1002,572,1009,622
img_1232.png,2,5,974,556,978,612
img_1232.png,3,8,946,532,952,588
img_1232.png,4,6,920,516,922,572
img_1232.png,5,1,898,500,894,556
img_1232.png,6,6,856,480,864,542
img_1232.png,7,2,806,450,816,510
img_1232.png,8,0,776,436,780,494
img_1232.png,9,6,748,416,750,476
img_1232.png,10,1,722,402,724,458
img_1232.png,11,6,680,380,690,442
img_1540.png,1,5,896,440,948,466
img_1540.png,2,5,864,468,926,484
img_1540.png,3,8,834,486,888,512
img_1540.png,4,6,816,500,862,530
img_1540.png,5,2,788,522,842,544
img_1540.png,6,2,752,540,812,562
img_1540.png,7,3,708,586,758,606
img_1540.png,8,0,684,600,736,630
img_1540.png,9,3,646,624,704,650
img_1540.png,10,C,624,638,680,670
img_1540.png,11,9,596,668,656,684
img_1408.png,1,5,626,504,610,558
img_1408.png,2,5,646,530,636,582
img_1408.png,3,8,672,556,654,610
img_1408.png,4,6,690,584,674,636
img_1408.png,5,1,714,606,686,654
img_1408.png,6,9,726,626,708,686
img_1408.png,7,4,768,674,760,732
img_1408.png,8,0,796,708,780,756
img_1408.png,9,6,816,734,802,784
img_1408.png,10,2,836,754,818,810
img_1408.png,11,6,862,784,850,842
img_1144.png,1,5,782,776,834,778
img_1144.png,2,5,800,748,856,754
img_1144.png,3,8,820,718,880,726
img_1144.png,4,6,844,690,900,700
img_1144.png,5,1,858,666,912,684
img_1144.png,6,4,880,636,936,642
img_1144.png,7,4,918,592,968,590
img_1144.png,8,0,938,562,988,570
img_1144.png,9,8,952,534,1010,540
img_1144.png,10,0,972,504,1030,510
img_1144.png,11,6,996,470,1052,480
img_1595.png,1,5,720,424,682,464
img_1595.png,2,5,730,458,686,496
img_1595.png,3,8,736,492,688,532
img_1595.png,4,6,744,526,698,560
img_1595.png,5,2,748,558,702,590
img_1595.png,6,3,754,596,712,630
img_1595.png,7,5,768,654,728,696
img_1595.png,8,0,778,682,730,718
img_1595.png,9,2,778,724,736,762
img_1595.png,10,8,788,760,740,794
img_1595.png,11,5,794,790,752,824
img_1386.png,1,5,658,504,642,552
img_1386.png,2,5,678,532,662,580
img_1386.png,3,8,698,558,678,608
img_1386.png,4,6,716,582,700,634
img_1386.png,5,1,736,608,716,654
img_1386.png,6,9,752,632,734,686
img_1386.png,7,6,794,682,782,736
img_1386.png,8,0,820,712,796,762
img_1386.png,9,4,838,736,820,790
img_1386.png,10,8,860,766,840,816
img_1386.png,11,9,876,794,864,850
img_1573.png,1,5,632,530,630,586
img_1573.png,2,5,660,558,656,608
img_1573.png,3,8,688,578,684,634
img_1573.png,4,6,716,596,706,652
img_1573.png,5,2,738,612,732,668
img_1573.png,6,2,762,630,760,692
img_1573.png,7,3,822,668,824,724
img_1573.png,8,0,854,690,844,744
img_1573.png,9,9,874,708,870,766
img_1573.png,10,0,902,730,898,786
img_1573.png,11,5,932,748,932,808
img_1375.png,1,5,940,758,892,788
img_1375.png,2,5,942,722,894,754
img_1375.png,3,8,944,690,892,720
img_1375.png,4,6,948,658,894,688
img_1375.png,5,1,944,630,892,658
img_1375.png,6,9,946,594,894,626
img_1375.png,7,5,942,530,892,562
img_1375.png,8,0,940,496,896,530
img_1375.png,9,3,948,456,896,490
img_1375.png,10,4,948,428,894,454
img_1375.png,11,E,948,390,898,424
img_1188.png,1,5,616,666,652,716
img_1188.png,2,5,656,670,686,718
img_1188.png,3,8,694,670,720,720
img_1188.png,4,6,724,670,752,720
img_1188.png,5,1,758,672,774,726
img_1188.png,6,5,790,670,822,726
img_1188.png,7,6,848,678,880,730
img_1188.png,8,0,886,680,912,734
img_1188.png,9,7,916,680,946,732
img_1188.png,10,E,952,686,984,736
img_1188.png,11,2,990,686,1016,740
img_1177.png,1,5,688,748,732,778
img_1177.png,2,5,714,734,762,764
img_1177.png,3,8,748,718,796,754
img_1177.png,4,6,780,702,828,740
img_1177.png,5,1,808,692,848,728
img_1177.png,6,5,832,680,886,708
img_1177.png,7,5,898,650,942,688
img_1177.png,8,0,922,634,972,678
img_1177.png,9,5,952,622,1002,654
img_1177.png,10,0,982,608,1032,644
img_1177.png,11,9,1012,596,1060,630
img_1639.png,1,5,820,414,862,460
img_1639.png,2,5,810,448,846,490
img_1639.png,3,8,796,478,836,522
img_1639.png,4,6,782,510,820,554
img_1639.png,5,2,770,542,816,584
img_1639.png,6,3,760,568,798,614
img_1639.png,7,4,732,626,776,678
img_1639.png,8,0,720,660,764,706
img_1639.png,9,9,708,690,756,738
img_1639.png,10,8,694,722,740,770
img_1639.png,11,6,682,754,722,804
img_1606.png,1,5,836,426,864,474
img_1606.png,2,5,818,450,842,504
img_1606.png,3,8,798,480,830,534
img_1606.png,4,6,780,510,806,560
img_1606.png,5,2,762,536,792,584
img_1606.png,6,3,738,566,766,618
img_1606.png,7,5,706,622,734,672
img_1606.png,8,0,690,646,720,694
img_1606.png,9,4,666,676,694,730
img_1606.png,10,9,646,710,676,760
img_1606.png,11,8,632,734,666,782
img_1617.png,1,5,992,618,1002,674
img_1617.png,2,5,958,602,966,660
img_1617.png,3,8,934,584,934,644
img_1617.png,4,6,906,566,910,626
img_1617.png,5,2,880,548,882,608
img_1617.png,6,3,840,532,850,590
img_1617.png,7,1,792,502,792,558
img_1617.png,8,0,762,486,762,544
img_1617.png,9,5,728,470,730,528
img_1617.png,10,2,700,454,702,512
img_1617.png,11,4,666,438,668,500
img_1562.png,1,5,952,488,992,526
img_1562.png,2,5,918,498,960,538
img_1562.png,3,8,884,506,924,546
img_1562.png,4,6,856,510,894,556
img_1562.png,5,2,826,520,870,562
img_1562.png,6,2,794,536,838,576
img_1562.png,7,3,726,550,768,590
img_1562.png,8,0,704,564,738,598
img_1562.png,9,7,662,570,704,614
img_1562.png,10,X,628,580,670,622
img_1562.png,11,9,598,590,642,630
img_1210.png,1,5,952,492,988,546
img_1210.png,2,5,918,496,950,544
img_1210.png,3,8,886,494,914,548
img_1210.png,4,6,852,494,886,546
img_1210.png,5,1,830,496,850,546
img_1210.png,6,6,782,496,816,548
img_1210.png,7,1,726,498,750,544
img_1210.png,8,0,684,496,714,546
img_1210.png,9,2,650,498,680,548
img_1210.png,10,2,618,498,652,548
img_1210.png,11,C,586,500,610,548
img_1364.png,1,5,616,554,602,608
img_1364.png,2,5,640,578,628,632
img_1364.png,3,8,662,602,650,654
img_1364.png,4,6,682,632,672,678
img_1364.png,5,1,710,650,686,698
img_1364.png,6,9,730,670,718,730
img_1364.png,7,5,776,708,768,766
img_1364.png,8,0,806,736,792,792
img_1364.png,9,1,834,770,808,822
img_1364.png,10,3,854,790,844,842
img_1364.png,11,8,880,816,864,868
img_1199.png,1,5,664,486,634,536
img_1199.png,2,5,678,524,642,568
img_1199.png,3,8,690,554,652,598
img_1199.png,4,6,704,584,666,630
img_1199.png,5,1,714,616,674,652
img_1199.png,6,5,722,640,696,692
img_1199.png,7,1,748,708,712,746
img_1199.png,8,0,762,748,724,786
img_1199.png,9,8,776,776,740,818
img_1199.png,10,7,792,806,750,846
img_1199.png,11,8,800,840,762,884
img_1628.png,1,5,702,778,752,794
img_1628.png,2,5,722,758,776,768
img_1628.png,3,8,748,730,802,746
img_1628.png,4,6,770,704,826,722
img_1628.png,5,2,794,684,852,704
img_1628.png,6,3,816,660,874,676
img_1628.png,7,4,862,616,918,626
img_1628.png,8,0,888,588,940,610
img_1628.png,9,7,912,564,966,578
img_1628.png,10,7,936,546,990,560
img_1628.png,11,3,956,520,1012,538
img_1166.png,1,5,756,412,706,440
img_1166.png,2,5,756,448,702,472
img_1166.png,3,8,758,480,702,506
img_1166.png,4,6,754,516,696,538
img_1166.png,5,1,748,548,698,560
img_1166.png,6,5,748,576,694,608
img_1166.png,7,3,738,640,690,668
img_1166.png,8,0,736,680,684,698
img_1166.png,9,3,734,714,684,738
img_1166.png,10,5,736,754,678,772
img_1166.png,11,0,732,782,672,798
img_1276.png,1,5,894,430,944,450
img_1276.png,2,5,862,450,914,470
img_1276.png,3,8,832,468,884,490
img_1276.png,4,6,810,484,860,508
img_1276.png,5,1,788,498,836,526
img_1276.png,6,7,758,520,810,544
img_1276.png,7,6,704,556,754,580
img_1276.png,8,0,680,572,732,604
img_1276.png,9,4,640,596,692,622
img_1276.png,10,X,612,616,666,642
img_1276.png,11,0,588,634,638,658
img_1100.png,1,5,974,470,1010,522
img_1100.png,2,5,938,472,976,522
img_1100.png,3,8,902,474,938,524
img_1100.png,4,6,874,474,906,524
img_1100.png,5,1,850,474,874,524
img_1100.png,6,4,802,474,842,528
img_1100.png,7,3,744,478,782,530
img_1100.png,8,0,708,478,748,532
img_1100.png,9,1,682,486,704,536
img_1100.png,10,6,644,484,674,534
img_1100.png,11,X,606,484,642,538
img_1507.png,1,5,874,458,926,474
img_1507.png,2,5,844,482,902,498
img_1507.png,3,8,820,504,876,520
img_1507.png,4,6,798,526,852,542
img_1507.png,5,2,776,552,832,560
img_1507.png,6,1,748,570,800,594
img_1507.png,7,2,700,614,754,632
img_1507.png,8,0,678,640,728,658
img_1507.png,9,7,650,662,706,682
img_1507.png,10,4,630,684,686,700
img_1507.png,11,1,608,700,660,728
img_1463.png,1,5,808,448,864,454
img_1463.png,2,5,784,474,844,480
img_1463.png,3,8,768,500,824,510
img_1463.png,4,6,752,522,808,532
img_1463.png,5,2,736,552,794,556
img_1463.png,6,0,708,582,768,588
img_1463.png,7,5,670,638,726,648
img_1463.png,8,1,656,656,708,672
img_1463.png,9,0,632,694,690,698
img_1463.png,10,5,618,714,674,726
img_1463.png,11,4,596,740,654,748
img_1265.png,1,5,872,758,912,792
img_1265.png,2,5,874,724,920,760
img_1265.png,3,8,880,694,926,726
img_1265.png,4,6,886,662,930,696
img_1265.png,5,1,888,634,934,666
img_1265.png,6,7,888,588,938,632
img_1265.png,7,5,886,524,942,562
img_1265.png,8,6,894,496,952,532
img_1265.png,9,2,908,456,952,492
img_1265.png,10,1,908,430,964,458
img_1265.png,11,7,910,392,962,434
img_1474.png,1,5,630,582,626,636
img_1474.png,2,5,656,598,654,656
img_1474.png,3,8,690,616,684,674
img_1474.png,4,6,714,638,714,690
img_1474.png,5,2,738,654,736,708
img_1474.png,6,0,764,672,774,726
img_1474.png,7,X,824,704,820,764
img_1474.png,8,X,854,722,848,782
img_1474.png,9,X,886,740,878,802
img_1474.png,10,0,912,758,908,818
img_1474.png,11,X,938,780,932,838
img_1298.png,1,5,978,550,1006,600
img_1298.png,2,5,940,542,966,592
img_1298.png,3,8,906,534,930,590
img_1298.png,4,6,876,534,899,582
img_1298.png,5,1,852,526,866,582
img_1298.png,6,7,804,520,836,574
img_1298.png,7,1,754,514,768,564
img_1298.png,8,0,712,508,736,562
img_1298.png,9,7,676,504,704,560
img_1298.png,10,9,642,496,662,552
img_1298.png,11,9,612,490,636,548
img_1529.png,1,5,718,428,676,466
img_1529.png,2,5,726,464,682,496
img_1529.png,3,8,732,494,688,532
img_1529.png,4,6,738,530,692,564
img_1529.png,5,2,742,554,698,590
img_1529.png,6,2,748,584,704,628
img_1529.png,7,3,754,652,720,692
img_1529.png,8,0,760,692,722,722
img_1529.png,9,1,772,734,722,760
img_1529.png,10,9,778,756,732,792
img_1529.png,11,6,784,786,736,820
img_1111.png,1,5,998,574,1005,630
img_1111.png,2,5,966,558,976,614
img_1111.png,3,8,938,538,942,598
img_1111.png,4,6,908,522,912,584
img_1111.png,5,1,890,514,884,564
img_1111.png,6,4,850,494,854,552
img_1111.png,7,5,794,466,800,524
img_1111.png,8,0,772,452,770,508
img_1111.png,9,3,734,434,736,492
img_1111.png,10,1,710,424,710,478
img_1111.png,11,8,672,406,680,462
